fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.100,0.765,0.040,1.600,0.078,4.000,14.000,0.998,3.290,0.540,9.700,4
8.700,0.690,0.310,3.000,0.086,23.000,81.000,1.000,3.480,0.740,11.600,6
6.100,0.210,0.400,1.400,0.066,40.500,165.000,0.991,3.250,0.590,11.900,6
10.900,0.390,0.470,1.800,0.118,6.000,14.000,0.998,3.300,0.750,9.800,6
8.800,0.685,0.260,1.600,0.088,16.000,23.000,0.997,3.320,0.470,9.400,5
8.400,1.035,0.150,6.000,0.073,11.000,54.000,0.999,3.370,0.490,9.900,5
8.200,0.390,0.490,2.300,0.099,47.000,133.000,0.998,3.380,0.990,9.800,5
6.300,0.550,0.150,1.800,0.077,26.000,35.000,0.993,3.320,0.820,11.600,6
8.000,0.500,0.390,2.600,0.082,12.000,46.000,0.999,3.430,0.620,10.700,6
8.200,0.640,0.270,2.000,0.095,5.000,77.000,0.997,3.130,0.620,9.100,6
11.500,0.180,0.510,4.000,0.104,4.000,23.000,1.000,3.280,0.970,10.100,6
6.500,0.670,0.000,4.300,0.057,11.000,20.000,0.995,3.450,0.560,11.800,4
8.900,0.120,0.450,1.800,0.075,10.000,21.000,0.996,3.410,0.760,11.900,7
7.100,0.610,0.020,2.500,0.081,17.000,87.000,0.997,3.480,0.600,9.700,6
7.200,0.630,0.000,1.900,0.097,14.000,38.000,0.997,3.370,0.580,9.000,6
11.300,0.340,0.450,2.000,0.082,6.000,15.000,0.999,2.940,0.660,9.200,6
6.200,0.560,0.090,1.700,0.053,24.000,32.000,0.994,3.540,0.600,11.300,5
6.200,0.520,0.080,4.400,0.071,11.000,32.000,0.996,3.560,0.630,11.600,6
12.500,0.280,0.540,2.300,0.082,12.000,29.000,1.000,3.110,1.360,9.800,7
6.400,0.570,0.140,3.900,0.070,27.000,73.000,0.997,3.320,0.480,9.200,5
7.800,0.440,0.280,2.700,0.100,18.000,95.000,0.997,3.220,0.670,9.400,5
8.700,0.420,0.450,2.400,0.072,32.000,59.000,0.996,3.330,0.770,12.000,6
10.200,0.440,0.580,4.100,0.092,11.000,24.000,0.997,3.290,0.990,12.000,7
5.600,0.540,0.040,1.700,0.049,5.000,13.000,0.994,3.720,0.580,11.400,5
7.800,0.590,0.180,2.300,0.076,17.000,54.000,0.998,3.430,0.590,10.000,5
13.700,0.415,0.680,2.900,0.085,17.000,43.000,1.001,3.060,0.800,10.000,6
9.900,0.740,0.190,5.800,0.111,33.000,76.000,0.999,3.140,0.550,9.400,5
7.400,0.490,0.270,2.100,0.071,14.000,25.000,0.994,3.350,0.630,12.000,6
7.000,0.685,0.000,1.900,0.099,9.000,22.000,0.996,3.340,0.600,9.700,5
7.200,0.570,0.050,2.300,0.081,16.000,36.000,0.996,3.380,0.600,10.300,6
8.400,0.290,0.400,1.700,0.067,8.000,20.000,0.996,3.390,0.600,10.500,5
7.400,0.530,0.120,1.900,0.165,4.000,12.000,0.997,3.260,0.860,9.200,5
7.100,0.160,0.440,2.500,0.068,17.000,31.000,0.993,3.350,0.540,12.400,6
12.300,0.390,0.630,2.300,0.091,6.000,18.000,1.000,3.160,0.490,9.500,5
10.200,0.540,0.370,15.400,0.214,55.000,95.000,1.004,3.180,0.770,9.000,6
10.400,0.550,0.230,2.700,0.091,18.000,48.000,0.999,3.220,0.640,10.300,6
9.400,0.430,0.240,2.800,0.092,14.000,45.000,0.998,3.190,0.730,10.000,6
9.000,0.580,0.250,2.000,0.104,8.000,21.000,0.998,3.270,0.720,9.600,5
8.600,0.685,0.100,1.600,0.092,3.000,12.000,0.997,3.310,0.650,9.550,6
6.500,0.880,0.030,5.600,0.079,23.000,47.000,0.996,3.580,0.500,11.200,4
6.900,0.520,0.250,2.600,0.081,10.000,37.000,0.997,3.460,0.500,11.000,5
6.500,0.580,0.000,2.200,0.096,3.000,13.000,0.996,3.620,0.620,11.500,4
7.300,0.580,0.300,2.400,0.074,15.000,55.000,0.997,3.460,0.590,10.200,5
7.000,0.590,0.000,1.700,0.052,3.000,8.000,0.996,3.410,0.470,10.300,5
7.500,0.510,0.020,1.700,0.084,13.000,31.000,0.995,3.360,0.540,10.500,6
7.800,0.430,0.700,1.900,0.464,22.000,67.000,0.997,3.130,1.280,9.400,5
7.000,0.430,0.020,1.900,0.080,15.000,28.000,0.995,3.350,0.810,10.600,6
10.400,0.410,0.550,3.200,0.076,22.000,54.000,1.000,3.150,0.890,9.900,6
7.600,0.430,0.290,2.100,0.075,19.000,66.000,0.997,3.400,0.640,9.500,5
8.400,0.620,0.090,2.200,0.084,11.000,108.000,0.996,3.150,0.660,9.800,5
7.400,0.640,0.170,5.400,0.168,52.000,98.000,0.997,3.280,0.500,9.500,5
6.700,0.640,0.230,2.100,0.080,11.000,119.000,0.995,3.360,0.700,10.900,5
7.200,0.655,0.030,1.800,0.078,7.000,12.000,0.996,3.340,0.390,9.500,5
9.600,0.540,0.420,2.400,0.081,25.000,52.000,0.997,3.200,0.710,11.400,6
6.100,0.590,0.010,2.100,0.056,5.000,13.000,0.995,3.520,0.560,11.400,5
7.600,0.400,0.290,1.900,0.078,29.000,66.000,0.997,3.450,0.590,9.500,6
7.300,0.305,0.390,1.200,0.059,7.000,11.000,0.993,3.290,0.520,11.500,6
10.300,0.530,0.480,2.500,0.063,6.000,25.000,1.000,3.120,0.590,9.300,6
8.100,0.330,0.440,1.500,0.042,6.000,12.000,0.995,3.350,0.610,10.700,5
9.600,0.680,0.240,2.200,0.087,5.000,28.000,0.999,3.140,0.600,10.200,5
13.200,0.460,0.520,2.200,0.071,12.000,35.000,1.001,3.100,0.560,9.000,6
9.900,0.740,0.280,2.600,0.078,21.000,77.000,0.998,3.280,0.510,9.800,5
9.800,0.390,0.430,1.650,0.068,5.000,11.000,0.995,3.190,0.460,11.400,5
10.900,0.210,0.490,2.800,0.088,11.000,32.000,0.997,3.220,0.680,11.700,6
12.800,0.840,0.630,2.400,0.088,13.000,35.000,1.000,3.100,0.600,10.400,6
7.500,0.310,0.410,2.400,0.065,34.000,60.000,0.995,3.340,0.850,11.400,6
11.600,0.410,0.540,1.500,0.095,22.000,41.000,0.997,3.020,0.760,9.900,7
9.000,0.390,0.400,1.300,0.044,25.000,50.000,0.995,3.200,0.830,10.900,6
8.200,0.560,0.230,3.400,0.078,14.000,104.000,0.998,3.280,0.620,9.400,5
8.000,0.390,0.300,1.900,0.074,32.000,84.000,0.997,3.390,0.610,9.000,5
6.800,0.570,0.000,2.500,0.072,32.000,64.000,0.995,3.430,0.560,11.200,6
7.600,0.480,0.310,2.800,0.070,4.000,15.000,0.997,3.220,0.550,10.300,6
7.400,0.490,0.190,3.000,0.077,16.000,37.000,0.997,3.370,0.510,10.500,5
8.100,0.780,0.100,3.300,0.090,4.000,13.000,0.999,3.360,0.490,9.500,5
7.000,0.360,0.210,2.300,0.086,20.000,65.000,0.996,3.400,0.540,10.100,6
5.400,0.420,0.270,2.000,0.092,23.000,55.000,0.995,3.780,0.640,12.300,7
6.700,0.670,0.020,1.900,0.061,26.000,42.000,0.995,3.390,0.820,10.900,6
10.300,0.440,0.500,4.500,0.107,5.000,13.000,0.998,3.280,0.830,11.500,5
7.100,0.600,0.000,1.800,0.074,16.000,34.000,0.997,3.470,0.700,9.900,6
7.800,0.620,0.050,2.300,0.079,6.000,18.000,0.997,3.290,0.630,9.300,5
10.600,0.360,0.570,2.300,0.087,6.000,20.000,0.997,3.140,0.720,11.100,7
11.700,0.490,0.490,2.200,0.083,5.000,15.000,1.000,3.190,0.430,9.200,5
8.800,0.600,0.290,2.200,0.098,5.000,15.000,0.999,3.360,0.490,9.100,5
7.100,0.590,0.000,2.100,0.091,9.000,14.000,0.995,3.420,0.550,11.500,7
8.300,0.540,0.240,3.400,0.076,16.000,112.000,0.998,3.270,0.610,9.400,5
9.300,0.775,0.270,2.800,0.078,24.000,56.000,0.998,3.310,0.670,10.600,6
6.400,0.570,0.120,2.300,0.120,25.000,36.000,0.995,3.470,0.710,11.300,7
9.900,0.400,0.530,6.700,0.097,6.000,19.000,0.999,3.270,0.820,11.700,7
10.600,0.480,0.640,2.200,0.111,6.000,20.000,0.997,3.260,0.660,11.700,6
8.600,0.490,0.280,1.900,0.110,20.000,136.000,0.997,2.930,1.950,9.900,6
8.600,0.635,0.680,1.800,0.403,19.000,56.000,0.996,3.020,1.150,9.300,5
6.400,0.560,0.150,1.800,0.078,17.000,65.000,0.993,3.330,0.600,10.500,6
10.000,0.420,0.500,3.400,0.107,7.000,21.000,0.998,3.260,0.930,11.800,6
11.800,0.260,0.520,1.800,0.071,6.000,10.000,0.997,3.200,0.720,10.200,7
7.500,0.400,0.120,3.000,0.092,29.000,53.000,0.997,3.370,0.700,10.300,6
6.100,0.715,0.100,2.600,0.053,13.000,27.000,0.994,3.570,0.500,11.900,5
11.900,0.430,0.660,3.100,0.109,10.000,23.000,1.000,3.150,0.850,10.400,7
7.600,0.510,0.150,2.800,0.110,33.000,73.000,0.996,3.170,0.630,10.200,6
8.400,0.340,0.420,2.100,0.072,23.000,36.000,0.994,3.110,0.780,12.400,6
7.700,0.570,0.210,1.500,0.069,4.000,9.000,0.995,3.160,0.540,9.800,6
8.900,0.310,0.360,2.600,0.056,10.000,39.000,0.996,3.400,0.690,11.800,5
9.100,0.340,0.420,1.800,0.058,9.000,18.000,0.994,3.180,0.550,11.400,5
7.400,0.740,0.070,1.700,0.086,15.000,48.000,0.995,3.120,0.480,10.000,5
7.800,0.815,0.010,2.600,0.074,48.000,90.000,0.996,3.380,0.620,10.800,5
7.400,0.530,0.260,2.000,0.101,16.000,72.000,0.996,3.150,0.570,9.400,5
10.100,0.310,0.440,2.300,0.080,22.000,46.000,0.999,3.320,0.670,9.700,6
5.900,0.645,0.120,2.000,0.075,32.000,44.000,0.995,3.570,0.710,10.200,5
8.600,0.470,0.470,2.400,0.074,7.000,29.000,0.998,3.080,0.460,9.500,5
7.300,0.380,0.210,2.000,0.080,7.000,35.000,0.996,3.330,0.470,9.500,5
6.800,0.590,0.060,6.000,0.060,11.000,18.000,0.996,3.410,0.590,10.800,7
8.500,0.585,0.180,2.100,0.078,5.000,30.000,0.997,3.200,0.480,9.800,6
8.200,0.280,0.400,2.400,0.052,4.000,10.000,0.994,3.330,0.700,12.800,7
7.500,0.630,0.270,2.000,0.083,17.000,91.000,0.996,3.260,0.580,9.800,6
7.400,0.590,0.080,4.400,0.086,6.000,29.000,0.997,3.380,0.500,9.000,4
9.200,0.460,0.230,2.600,0.091,18.000,77.000,0.999,3.150,0.510,9.400,5
11.100,0.310,0.530,2.200,0.060,3.000,10.000,0.996,3.020,0.830,10.900,7
9.900,0.590,0.070,3.400,0.102,32.000,71.000,1.000,3.310,0.710,9.800,5
9.100,0.520,0.330,1.300,0.070,9.000,30.000,0.998,3.240,0.600,9.300,5
7.700,0.390,0.120,1.700,0.097,19.000,27.000,0.996,3.160,0.490,9.400,5
10.600,1.020,0.430,2.900,0.076,26.000,88.000,0.998,3.080,0.570,10.100,6
7.300,0.440,0.200,1.600,0.049,24.000,64.000,0.994,3.380,0.570,11.700,6
6.900,0.685,0.000,2.500,0.105,22.000,37.000,0.997,3.460,0.570,10.600,6
11.500,0.310,0.510,2.200,0.079,14.000,28.000,0.998,3.030,0.930,9.800,6
9.700,0.530,0.600,2.000,0.039,5.000,19.000,0.996,3.300,0.860,12.400,6
7.000,0.620,0.180,1.500,0.062,7.000,50.000,0.995,3.080,0.600,9.300,5
12.700,0.590,0.450,2.300,0.082,11.000,22.000,1.000,3.000,0.700,9.300,6
9.800,0.880,0.250,2.500,0.104,35.000,155.000,1.001,3.410,0.670,11.200,5
7.800,0.735,0.080,2.400,0.092,10.000,41.000,0.997,3.240,0.710,9.800,6
11.900,0.380,0.490,2.700,0.098,12.000,42.000,1.000,3.160,0.610,10.300,5
6.800,0.410,0.310,8.800,0.084,26.000,45.000,0.998,3.380,0.640,10.100,6
7.800,0.480,0.680,1.700,0.415,14.000,32.000,0.997,3.090,1.060,9.100,6
11.600,0.530,0.660,3.650,0.121,6.000,14.000,0.998,3.050,0.740,11.500,7
6.400,0.530,0.090,3.900,0.123,14.000,31.000,0.997,3.500,0.670,11.000,4
6.100,0.560,0.000,2.200,0.079,6.000,9.000,0.995,3.590,0.540,11.500,6
7.900,0.500,0.330,2.000,0.084,15.000,143.000,0.997,3.200,0.550,9.500,5
11.400,0.360,0.690,2.100,0.090,6.000,21.000,1.000,3.170,0.620,9.200,6
10.600,0.420,0.480,2.700,0.065,5.000,18.000,0.997,3.210,0.870,11.300,6
9.600,0.330,0.520,2.200,0.074,13.000,25.000,0.995,3.360,0.760,12.400,7
7.600,0.490,0.260,1.600,0.236,10.000,88.000,0.997,3.110,0.800,9.300,5
7.000,0.400,0.320,3.600,0.061,9.000,29.000,0.994,3.280,0.490,11.300,7
8.200,0.700,0.230,2.000,0.099,14.000,81.000,0.997,3.190,0.700,9.400,5
7.300,0.670,0.260,1.800,0.401,16.000,51.000,0.997,3.160,1.140,9.400,5
6.300,0.980,0.010,2.000,0.057,15.000,33.000,0.995,3.600,0.460,11.200,6
8.500,0.440,0.500,1.900,0.369,15.000,38.000,0.996,3.010,1.100,9.400,5
6.400,0.400,0.230,1.600,0.066,5.000,12.000,0.996,3.340,0.560,9.200,5
7.000,0.430,0.300,2.000,0.085,6.000,39.000,0.993,3.330,0.460,11.900,6
7.100,0.430,0.420,5.500,0.071,28.000,128.000,0.997,3.420,0.710,10.500,5
7.800,0.520,0.250,1.900,0.081,14.000,38.000,0.998,3.430,0.650,9.000,6
6.600,0.440,0.150,2.100,0.076,22.000,53.000,0.996,3.320,0.620,9.300,5
7.200,0.340,0.320,2.500,0.090,43.000,113.000,0.997,3.320,0.790,11.100,5
7.100,0.390,0.120,2.100,0.065,14.000,24.000,0.993,3.300,0.530,13.300,6
8.600,0.315,0.400,2.200,0.079,3.000,6.000,0.995,3.270,0.670,11.900,6
6.800,0.680,0.090,3.900,0.068,15.000,29.000,0.995,3.410,0.520,11.100,4
6.200,0.560,0.090,1.700,0.053,24.000,32.000,0.994,3.540,0.600,11.300,5
6.000,0.510,0.000,2.100,0.064,40.000,54.000,0.995,3.540,0.930,10.700,6
8.800,0.610,0.140,2.400,0.067,10.000,42.000,0.997,3.190,0.590,9.500,5
7.300,0.480,0.320,2.100,0.062,31.000,54.000,0.997,3.300,0.650,10.000,7
10.700,0.350,0.530,2.600,0.070,5.000,16.000,0.997,3.150,0.650,11.000,8
6.700,0.460,0.240,1.700,0.077,18.000,34.000,0.995,3.390,0.600,10.600,6
10.500,0.510,0.640,2.400,0.107,6.000,15.000,0.997,3.090,0.660,11.800,7
9.900,0.500,0.240,2.300,0.103,6.000,14.000,0.998,3.340,0.520,10.000,4
8.600,0.220,0.360,1.900,0.064,53.000,77.000,0.996,3.470,0.870,11.000,7
12.500,0.460,0.630,2.000,0.071,6.000,15.000,0.999,2.990,0.870,10.200,5
7.200,0.540,0.270,2.600,0.084,12.000,78.000,0.996,3.390,0.710,11.000,5
6.400,0.670,0.080,2.100,0.045,19.000,48.000,0.995,3.490,0.490,11.400,6
7.500,0.580,0.140,2.200,0.077,27.000,60.000,0.996,3.280,0.590,9.800,5
7.800,0.580,0.130,2.100,0.102,17.000,36.000,0.994,3.240,0.530,11.200,6
6.600,0.815,0.020,2.700,0.072,17.000,34.000,0.996,3.580,0.890,12.300,7
6.300,0.570,0.280,2.100,0.048,13.000,49.000,0.994,3.410,0.600,12.800,5
7.200,0.695,0.130,2.000,0.076,12.000,20.000,0.995,3.290,0.540,10.100,5
9.500,0.590,0.440,2.300,0.071,21.000,68.000,0.999,3.460,0.630,9.500,5
9.900,0.250,0.460,1.700,0.062,26.000,42.000,0.996,3.180,0.830,10.600,6
7.100,0.430,0.170,1.800,0.082,27.000,51.000,0.996,3.490,0.640,10.400,5
7.200,0.560,0.260,2.000,0.083,13.000,100.000,0.996,3.260,0.520,9.900,5
7.600,0.490,0.330,1.900,0.074,27.000,85.000,0.997,3.410,0.580,9.000,5
6.700,0.160,0.640,2.100,0.059,24.000,52.000,0.995,3.340,0.710,11.200,6
10.600,1.025,0.430,2.800,0.080,21.000,84.000,0.999,3.060,0.570,10.100,5
15.000,0.210,0.440,2.200,0.075,10.000,24.000,1.000,3.070,0.840,9.200,7
7.300,0.740,0.080,1.700,0.094,10.000,45.000,0.996,3.240,0.500,9.800,5
7.700,0.835,0.000,2.600,0.081,6.000,14.000,0.998,3.300,0.520,9.300,5
9.000,0.470,0.310,2.700,0.084,24.000,125.000,0.998,3.310,0.610,9.400,5
7.200,0.620,0.060,2.700,0.077,15.000,85.000,0.997,3.510,0.540,9.500,5
7.600,0.360,0.310,1.700,0.079,26.000,65.000,0.997,3.460,0.620,9.500,6
9.000,0.460,0.310,2.800,0.093,19.000,98.000,0.998,3.320,0.630,9.500,6
12.300,0.390,0.630,2.300,0.091,6.000,18.000,1.000,3.160,0.490,9.500,5
6.400,0.790,0.040,2.200,0.061,11.000,17.000,0.996,3.530,0.650,10.400,6
7.600,0.540,0.130,2.500,0.097,24.000,66.000,0.998,3.390,0.610,9.400,5
10.300,0.430,0.440,2.400,0.214,5.000,12.000,0.999,3.190,0.630,9.500,6
7.500,0.510,0.020,1.700,0.084,13.000,31.000,0.995,3.360,0.540,10.500,6
10.500,0.240,0.470,2.100,0.066,6.000,24.000,0.998,3.150,0.900,11.000,7
7.700,0.260,0.260,2.000,0.052,19.000,77.000,0.995,3.150,0.790,10.900,6
11.500,0.590,0.590,2.600,0.087,13.000,49.000,0.999,3.180,0.650,11.000,6
10.500,0.240,0.470,2.100,0.066,6.000,24.000,0.998,3.150,0.900,11.000,7
6.900,0.765,0.020,2.300,0.063,35.000,63.000,0.998,3.570,0.780,9.900,5
7.600,1.580,0.000,2.100,0.137,5.000,9.000,0.995,3.500,0.400,10.900,3
8.900,0.610,0.490,2.000,0.270,23.000,110.000,0.997,3.120,1.020,9.300,5
9.100,0.400,0.500,1.800,0.071,7.000,16.000,0.995,3.210,0.690,12.500,8
6.000,0.330,0.320,12.900,0.054,6.000,113.000,0.996,3.300,0.560,11.500,4
6.900,0.635,0.170,2.400,0.241,6.000,18.000,0.996,3.400,0.590,10.300,6
7.300,0.480,0.320,2.100,0.062,31.000,54.000,0.997,3.300,0.650,10.000,7
10.600,0.830,0.370,2.600,0.086,26.000,70.000,0.998,3.160,0.520,9.900,5
6.600,0.390,0.490,1.700,0.070,23.000,149.000,0.992,3.120,0.500,11.500,6
8.300,0.615,0.220,2.600,0.087,6.000,19.000,0.998,3.260,0.610,9.300,5
9.500,0.390,0.410,8.900,0.069,18.000,39.000,0.999,3.290,0.810,10.900,7
6.900,0.390,0.240,2.100,0.102,4.000,7.000,0.995,3.440,0.580,11.400,4
9.400,0.270,0.530,2.400,0.074,6.000,18.000,0.996,3.200,1.130,12.000,7
8.300,0.310,0.390,2.400,0.078,17.000,43.000,0.994,3.310,0.770,12.500,7
8.200,1.330,0.000,1.700,0.081,3.000,12.000,0.996,3.530,0.490,10.900,5
9.100,0.660,0.150,3.200,0.097,9.000,59.000,1.000,3.280,0.540,9.600,5
12.400,0.350,0.490,2.600,0.079,27.000,69.000,0.999,3.120,0.750,10.400,6
6.700,0.750,0.010,2.400,0.078,17.000,32.000,0.996,3.550,0.610,12.800,6
6.600,0.630,0.000,4.300,0.093,51.000,77.500,0.996,3.200,0.450,9.500,5
11.000,0.300,0.580,2.100,0.054,7.000,19.000,0.998,3.310,0.880,10.500,7
8.400,0.745,0.110,1.900,0.090,16.000,63.000,0.997,3.190,0.820,9.600,5
7.800,0.500,0.120,1.800,0.178,6.000,21.000,0.996,3.280,0.870,9.800,6
7.700,0.610,0.180,2.400,0.083,6.000,20.000,0.996,3.290,0.600,10.200,6
9.500,0.550,0.660,2.300,0.387,12.000,37.000,0.998,3.170,0.670,9.600,5
8.200,0.780,0.000,2.200,0.089,13.000,26.000,0.998,3.370,0.460,9.600,4
9.500,0.570,0.270,2.300,0.082,23.000,144.000,0.998,3.270,0.550,9.400,5
13.200,0.380,0.550,2.700,0.081,5.000,16.000,1.001,2.980,0.540,9.400,5
10.000,0.350,0.470,2.000,0.061,6.000,11.000,0.996,3.230,0.520,12.000,6
9.000,0.440,0.490,2.400,0.078,26.000,121.000,0.998,3.230,0.580,9.200,5
6.700,0.580,0.080,1.800,0.097,15.000,65.000,0.996,3.280,0.540,9.200,5
12.900,0.500,0.550,2.800,0.072,7.000,24.000,1.000,3.090,0.680,10.900,6
7.600,0.520,0.120,3.000,0.067,12.000,53.000,0.997,3.360,0.570,9.100,5
11.000,0.200,0.480,2.000,0.343,6.000,18.000,0.998,3.300,0.710,10.500,5
11.300,0.370,0.410,2.300,0.088,6.000,16.000,0.999,3.090,0.800,9.300,5
7.000,0.600,0.120,2.200,0.083,13.000,28.000,0.997,3.520,0.620,10.200,7
6.100,0.380,0.150,1.800,0.072,6.000,19.000,0.996,3.420,0.570,9.400,5
10.300,0.590,0.420,2.800,0.090,35.000,73.000,0.999,3.280,0.700,9.500,6
9.200,0.670,0.100,3.000,0.091,12.000,48.000,0.999,3.310,0.540,9.500,6
9.500,0.460,0.240,2.700,0.092,14.000,44.000,0.998,3.120,0.740,10.000,6
10.400,0.280,0.540,2.700,0.105,5.000,19.000,0.999,3.250,0.630,9.500,5
8.700,0.700,0.240,2.500,0.226,5.000,15.000,0.999,3.320,0.600,9.000,6
8.100,0.870,0.000,2.200,0.084,10.000,31.000,0.997,3.250,0.500,9.800,5
5.600,0.915,0.000,2.100,0.041,17.000,78.000,0.993,3.680,0.730,11.400,5
6.100,0.320,0.250,2.300,0.071,23.000,58.000,0.996,3.420,0.970,10.600,5
7.100,0.680,0.000,2.200,0.073,12.000,22.000,0.997,3.480,0.500,9.300,5
7.200,0.520,0.070,1.400,0.074,5.000,20.000,0.997,3.320,0.810,9.600,6
12.500,0.600,0.490,4.300,0.100,5.000,14.000,1.001,3.250,0.740,11.900,6
7.700,0.280,0.300,2.000,0.062,18.000,34.000,0.995,3.280,0.900,11.300,7
7.800,0.590,0.330,2.000,0.074,24.000,120.000,0.997,3.250,0.540,9.400,5
9.100,0.760,0.680,1.700,0.414,18.000,64.000,0.997,2.900,1.330,9.100,6
10.800,0.400,0.410,2.200,0.084,7.000,17.000,0.998,3.080,0.670,9.300,6
9.000,0.430,0.340,2.500,0.080,26.000,86.000,0.999,3.380,0.620,9.500,6
6.800,0.775,0.000,3.000,0.102,8.000,23.000,0.997,3.450,0.560,10.700,5
12.200,0.450,0.490,1.400,0.075,3.000,6.000,0.997,3.130,0.630,10.400,5
8.500,0.340,0.440,1.700,0.079,6.000,12.000,0.996,3.520,0.630,10.700,5
7.100,0.430,0.420,5.500,0.070,29.000,129.000,0.997,3.420,0.720,10.500,5
6.800,0.770,0.000,1.800,0.066,34.000,52.000,0.998,3.620,0.680,9.900,5
5.900,0.395,0.130,2.400,0.056,14.000,28.000,0.994,3.620,0.670,12.400,6
10.400,0.240,0.490,1.800,0.075,6.000,20.000,0.998,3.180,1.060,11.000,6
7.400,0.550,0.190,1.800,0.082,15.000,34.000,0.997,3.490,0.680,10.500,5
7.900,0.330,0.410,1.500,0.056,6.000,35.000,0.994,3.290,0.710,11.000,6
